id,target_name,drugbank_id,category,organism,known_action,actions,pubmed_id,uniprot_id
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,DB00005,target,Humans,unknown,ligand,15457442,P08637
BE0009995,Complement component 1q (C1q),DB00005,target,Humans,unknown,ligand,10800083,O75015
BE0001075,Myeloperoxidase,DB00006,target,Humans,yes,inhibitor,11060732,P00734
BE0000203,Gonadotropin-releasing hormone receptor,DB00006,enzyme,Humans,unknown,inhibitor,18701766,P05164
BE0000385,Interferon alpha/beta receptor 2,DB00007,target,Humans,yes,agonist,16809153,P30968
BE0000661,Interferon alpha/beta receptor 1,DB00008,target,Humans,yes,agonist,15898717,P48551
BE0002433,Cytochrome P450 1A2,DB00008,target,Humans,yes,agonist,15898717,P17181
BE0000211,Plasminogen,DB00008,enzyme,Humans,unknown,inhibitor,11910269,P05177
BE0000538,Fibrinogen alpha chain,DB00009,target,Humans,yes,activator,18673235,P00747
BE0002092,Fibrinogen gamma chain,DB00009,target,Humans,yes,binder,18673235,P02671
BE0000240,Plasminogen activator inhibitor 1,DB00009,target,Humans,yes,binder,18673235,P02679
BE0000625,Growth hormone-releasing hormone receptor,DB00009,target,Humans,unknown,,17963464,P05121
BE0000661,Interferon alpha/beta receptor 1,DB00010,target,Humans,yes,agonist,14499707,Q02643
BE0000385,Interferon alpha/beta receptor 2,DB00011,target,Humans,yes,agonist,17139284,P17181
BE0002433,Cytochrome P450 1A2,DB00011,target,Humans,yes,agonist,17139284,P48551
BE0000654,Erythropoietin receptor,DB00011,enzyme,Humans,unknown,inhibitor,9064483,P05177
BE0000211,Plasminogen,DB00012,target,Humans,yes,agonist,16505108,P19235
BE0000717,Urokinase plasminogen activator surface receptor,DB00013,target,Humans,yes,activator,12658774,P00747
BE0000240,Plasminogen activator inhibitor 1,DB00013,target,Humans,yes,inducer|modulator,12615913,Q03405
BE0000969,Plasminogen activator inhibitor 2,DB00013,target,Humans,yes,substrate|inducer,12579271,P05121
BE0002112,Plasma serine protease inhibitor,DB00013,target,Humans,yes,substrate|inducer,15277569,P05120
BE0000942,Low-density lipoprotein receptor-related protein 2,DB00013,target,Humans,unknown,substrate,17434507,P05154
BE0001656,Suppressor of tumorigenicity 14 protein,DB00013,target,Humans,unknown,substrate,17139284,P98164
BE0002113,Nidogen-1,DB00013,target,Humans,unknown,substrate,14747469,Q9Y5Y6
BE0001198,Macrophage metalloelastase,DB00013,target,Humans,unknown,ligand,17139284,P14543
BE0000134,Lutropin-choriogonadotropic hormone receptor,DB00013,enzyme,Humans,unknown,substrate,12195704,P39900
BE0000203,Gonadotropin-releasing hormone receptor,DB00014,target,Humans,yes,agonist,17139284,P22888
BE0000211,Plasminogen,DB00014,target,Humans,yes,agonist,20053189,P30968
BE0000538,Fibrinogen alpha chain,DB00015,target,Humans,yes,activator,17963464,P00747
BE0000240,Plasminogen activator inhibitor 1,DB00015,target,Humans,yes,,18673235,P02671
BE0000654,Erythropoietin receptor,DB00015,target,Humans,unknown,,17963464,P05121
BE0000431,Calcitonin receptor,DB00016,target,Humans,yes,agonist,16505108,P19235
BE0000661,Interferon alpha/beta receptor 1,DB00017,target,Humans,unknown,agonist,3004987,P30988
BE0000385,Interferon alpha/beta receptor 2,DB00018,target,Humans,yes,agonist,17139284,P17181
BE0002433,Cytochrome P450 1A2,DB00018,target,Humans,yes,agonist,17139284,P48551
BE0000793,Granulocyte colony-stimulating factor receptor,DB00018,enzyme,Humans,unknown,inhibitor,9064483,P05177
BE0000394,Neutrophil elastase,DB00019,target,Humans,yes,agonist,17001306,Q99062
BE0000628,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,DB00019,enzyme,Humans,no,substrate,14657210,P08246
BE0001036,Interleukin-3 receptor subunit alpha,DB00020,target,Humans,yes,agonist,17090651,P15509
BE0002115,Cytokine receptor common subunit beta,DB00020,target,Humans,yes,agonist,17562355,P26951
BE0002116,Syndecan-2,DB00020,target,Humans,yes,agonist,17139284,P32927
BE0002114,Bone marrow proteoglycan,DB00020,target,Humans,unknown,agonist,17139284,P34741
BE0000661,Interferon alpha/beta receptor 1,DB00020,target,Humans,unknown,,17383764,P13727
BE0000385,Interferon alpha/beta receptor 2,DB00022,target,Humans,yes,agonist,17139284,P17181
BE0002433,Cytochrome P450 1A2,DB00022,target,Humans,yes,agonist,17139284,P48551
BE0002363,Cytochrome P450 2D6,DB00022,enzyme,Humans,unknown,inhibitor,21161196,P05177
BE0002793,Cytochrome P450 2C9,DB00022,enzyme,Humans,unknown,inhibitor,,P10635
BE0004798,L-asparagine,DB00022,enzyme,Humans,unknown,inducer,22765278,P11712
BE0000490,Thyrotropin receptor,DB00023,carrier,Humans,no,inhibitor,,P05543
BE0000216,Coagulation factor X,DB00024,target,Humans,yes,agonist,15571461,P16473
BE0000364,Coagulation factor IX,DB00025,target,Humans,yes,activator,13801371,P00742
BE0001043,von Willebrand factor,DB00025,target,Humans,yes,cofactor,1119107,P00740
BE0002117,"Phytanoyl-CoA dioxygenase, peroxisomal",DB00025,target,Humans,yes,binder,10938981,P04275
BE0002118,Asialoglycoprotein receptor 2,DB00025,target,Humans,unknown,antagonist,11574539,O14832
BE0001098,78 kDa glucose-regulated protein,DB00025,target,Humans,unknown,binder,15946216,P07307
BE0002109,Calreticulin,DB00025,target,Humans,unknown,chaperone,9607108,P11021
BE0001011,Calnexin,DB00025,target,Humans,unknown,chaperone,9525969,P27797
BE0002119,Protein ERGIC-53,DB00025,target,Humans,unknown,chaperone,9525969,P27824
BE0002110,Prolow-density lipoprotein receptor-related protein 1,DB00025,target,Humans,unknown,chaperone,14629470,P49257
BE0002120,Multiple coagulation factor deficiency protein 2,DB00025,target,Humans,unknown,modulator,21391865,Q07954
BE0000048,Prothrombin,DB00025,target,Humans,unknown,modulator,15886209,Q8NI22
BE0000380,Vitamin K-dependent protein C,DB00025,enzyme,Humans,unknown,activator,10688826,P00734
BE0000565,Interleukin-1 receptor type 1,DB00025,enzyme,Humans,unknown,substrate,21054189,P04070
BE0001032,P-glycoprotein 1,DB00026,target,Humans,yes,antagonist,17498496,P14778
BE0000710,High affinity immunoglobulin gamma Fc receptor I,DB00027,transporter,Humans,unknown,substrate|inhibitor,14985103,P08183
BE0004684,High affinity immunoglobulin gamma Fc receptor IB,DB00028,target,Humans,yes,antagonist,17911465,P12314
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,DB00028,target,Humans,yes,antagonist,17911465,Q92637
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,DB00028,target,Humans,yes,antagonist,17911465,P12318
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,DB00028,target,Humans,yes,antagonist,17911465,P31994
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,DB00028,target,Humans,yes,antagonist,17911465,P31995
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,DB00028,target,Humans,yes,antagonist,17911465,P08637
BE0003455,Complement C3,DB00028,target,Humans,yes,antagonist,17911465,O75015
BE0004685,Complement C4-A,DB00028,target,Humans,yes,binder,20441428,P01024
BE0004686,Complement C4-B,DB00028,target,Humans,yes,binder,20441428,P0C0L4
BE0000855,Complement C5,DB00028,target,Humans,yes,binder,20441428,P0C0L5
BE0000211,Plasminogen,DB00028,target,Humans,yes,binder,20441428,P01031
BE0000538,Fibrinogen alpha chain,DB00029,target,Humans,yes,activator,18673235,P00747
BE0000240,Plasminogen activator inhibitor 1,DB00029,target,Humans,yes,,6750837,P02671
BE0000033,Insulin receptor,DB00029,target,Humans,unknown,,17963464,P05121
BE0000858,Insulin-like growth factor 1 receptor,DB00030,target,Humans,yes,agonist,12970169,P06213
BE0001123,Carboxypeptidase E,DB00030,target,Humans,unknown,activator,19145584,P08069
BE0001147,Protein NOV homolog,DB00030,target,Humans,unknown,modulator|product of,24843127,P16870
BE0000942,Low-density lipoprotein receptor-related protein 2,DB00030,target,Humans,unknown,downregulator,23705021,P48745
BE0002126,Insulin-like growth factor-binding protein 7,DB00030,target,Humans,unknown,substrate,9773776,P98164
BE0001183,Insulin-degrading enzyme,DB00030,target,Humans,unknown,inhibitor|binder,17475416,Q16270
BE0002124,Neuroendocrine convertase 2,DB00030,enzyme,Humans,unknown,substrate|cleavage,19785409,P14735
BE0002125,Neuroendocrine convertase 1,DB00030,enzyme,Humans,unknown,activator,,P16519
BE0002433,Cytochrome P450 1A2,DB00030,enzyme,Humans,unknown,activator,,P29120
BE0000211,Plasminogen,DB00030,enzyme,Humans,unknown,inducer,1562279,P05177
BE0000538,Fibrinogen alpha chain,DB00031,target,Humans,yes,activator,18673235,P00747
BE0000717,Urokinase plasminogen activator surface receptor,DB00031,target,Humans,yes,,19436656,P02671
BE0000240,Plasminogen activator inhibitor 1,DB00031,target,Humans,unknown,,15231724,Q03405
BE0000969,Plasminogen activator inhibitor 2,DB00031,target,Humans,unknown,,11163592,P05121
BE0002104,Tetranectin,DB00031,target,Humans,unknown,,17141398,P05120
BE0002105,"Keratin, type II cytoskeletal 8",DB00031,target,Humans,unknown,,12694198,P05452
BE0001170,Annexin A2,DB00031,target,Humans,unknown,,9988531,P05787
BE0002109,Calreticulin,DB00031,target,Humans,unknown,,15194650,P07355
BE0001011,Calnexin,DB00031,target,Humans,unknown,,9359841,P27797
BE0002110,Prolow-density lipoprotein receptor-related protein 1,DB00031,target,Humans,unknown,,9359841,P27824
BE0000387,Follicle-stimulating hormone receptor,DB00031,target,Humans,unknown,,8344937,Q07954
BE0000134,Lutropin-choriogonadotropic hormone receptor,DB00032,target,Humans,yes,binder,17139284,P23945
BE0000711,Interferon gamma receptor 1,DB00032,target,Humans,yes,,17139284,P22888
BE0000467,Interferon gamma receptor 2,DB00033,target,Humans,yes,binder,17251453,P15260
BE0002433,Cytochrome P450 1A2,DB00033,target,Humans,yes,binder,17239631,P38484
BE0000661,Interferon alpha/beta receptor 1,DB00033,enzyme,Humans,unknown,inhibitor,9064483,P05177
BE0000385,Interferon alpha/beta receptor 2,DB00034,target,Humans,yes,,15898717,P17181
BE0002433,Cytochrome P450 1A2,DB00034,target,Humans,yes,,15898717,P48551
BE0000293,Vasopressin V2 receptor,DB00034,enzyme,Humans,unknown,inhibitor,9064483,P05177
BE0000165,Vasopressin V1a receptor,DB00035,target,Humans,yes,agonist,18761325,P30518
BE0000773,Vasopressin V1b receptor,DB00035,target,Humans,yes,,10731046,P37288
BE0000262,Prostaglandin G/H synthase 2,DB00035,target,Humans,yes,,15613460,P47901
BE0000017,Prostaglandin G/H synthase 1,DB00035,enzyme,Humans,unknown,inducer,15644490,P35354
BE0000216,Coagulation factor X,DB00035,enzyme,Humans,unknown,inducer,15644490,P23219
BE0001178,Tissue factor,DB00036,target,Humans,unknown,,5969560,P00742
BE0000967,Tissue factor pathway inhibitor,DB00036,target,Humans,unknown,,13713641,P13726
BE0000403,Vitamin K-dependent gamma-carboxylase,DB00036,target,Humans,unknown,,11772005,P10646
BE0000333,Coagulation factor VII,DB00036,target,Humans,unknown,,17139284,P38435
BE0000416,Interleukin-11 receptor subunit alpha,DB00036,target,Humans,unknown,,10388743,P08709
BE0000748,Fibroblast growth factor receptor 2,DB00038,target,Humans,yes,agonist,11012177,Q14626
BE0002131,Fibroblast growth factor receptor 1,DB00039,target,Humans,yes,agonist|binder,17728847,P21802
BE0001031,Basement membrane-specific heparan sulfate proteoglycan core protein,DB00039,target,Humans,unknown,agonist,11714710,P11362
BE0000527,Glucagon receptor,DB00039,target,Humans,unknown,ligand,10593896,P98160
BE0002134,Glucagon-like peptide 2 receptor,DB00040,target,Humans,yes,agonist,17462598,P47871
BE0000857,Glucagon-like peptide 1 receptor,DB00040,target,Humans,unknown,agonist,17139284,O95838
BE0000651,Interleukin-2 receptor subunit beta,DB00040,target,Humans,unknown,agonist,17475961,P43220
BE0000658,Interleukin-2 receptor subunit alpha,DB00041,target,Humans,yes,agonist|modulator,16477002,P14784
BE0002102,Cytokine receptor common subunit gamma,DB00041,target,Humans,yes,agonist|modulator,17216565,P01589
BE0000262,Prostaglandin G/H synthase 2,DB00041,target,Humans,yes,agonist,16477002,P31785
BE0000657,Cytosolic phospholipase A2,DB00041,enzyme,Humans,unknown,inducer,10823885,P35354
BE0002638,Cytochrome P450 3A4,DB00041,enzyme,Humans,unknown,inducer,8536274,P47712
BE0002204,Xanthine dehydrogenase/oxidase,DB00041,enzyme,Humans,unknown,inhibitor,10086330,P08684
BE0003533,Cytochrome P450 2E1,DB00041,enzyme,Humans,unknown,inducer,8032542,P47989
BE0002137,Vesicle-associated membrane protein 2,DB00041,enzyme,Humans,unknown,inhibitor,10086330,P05181
BE0002136,Vesicle-associated membrane protein 1,DB00042,target,Humans,yes,binder,14573702,P63027
BE0002138,Synaptotagmin-2,DB00042,target,Humans,yes,binder,17139284,P23763
BE0000015,High affinity immunoglobulin epsilon receptor subunit alpha,DB00042,target,Humans,yes,,17139284,Q8N9I0
BE0002139,High affinity immunoglobulin epsilon receptor subunit beta,DB00043,target,Humans,yes,inhibitor,15356552,P12319
BE0000134,Lutropin-choriogonadotropic hormone receptor,DB00043,target,Humans,yes,inhibitor,17139284,Q01362
BE0001164,Toll-like receptor 2,DB00044,target,Humans,yes,agonist,17139284,P22888
BE0000033,Insulin receptor,DB00045,target,Humans,yes,other/unknown,14617145,O60603
BE0000858,Insulin-like growth factor 1 receptor,DB00046,target,Humans,yes,agonist,11752352,P06213
BE0002433,Cytochrome P450 1A2,DB00046,target,Humans,unknown,activator,22420005,P08069
BE0001183,Insulin-degrading enzyme,DB00046,enzyme,Humans,unknown,inducer,1562279,P05177
BE0000033,Insulin receptor,DB00046,enzyme,Humans,unknown,substrate,12773120,P14735
BE0000858,Insulin-like growth factor 1 receptor,DB00047,target,Humans,yes,agonist,11752352,P06213
BE0002433,Cytochrome P450 1A2,DB00047,target,Humans,unknown,activator,22420005,P08069
BE0000025,Collagen alpha-1(I) chain,DB00047,enzyme,Humans,unknown,inducer,1562279,P05177
BE0002140,Collagen alpha-1(II) chain,DB00048,target,Humans,yes,binder,17440987,P02452
BE0002130,Collagen alpha-1(III) chain,DB00048,target,Humans,yes,binder,14613270,P02458
BE0004823,Uric acid,DB00048,target,Humans,yes,binder,17139284,P02461
BE0000134,Lutropin-choriogonadotropic hormone receptor,DB00050,target,Humans,yes,antagonist,11854630,P30968
BE0000704,Tumor necrosis factor,DB00050,target,Humans,unknown,,17139284,P22888
BE0000075,Growth hormone receptor,DB00051,target,Humans,yes,inhibitor|antibody,12044041,P01375
BE0000345,Prolactin receptor,DB00052,target,Humans,yes,ligand,16917171,P10912
BE0002433,Cytochrome P450 1A2,DB00052,target,Humans,yes,ligand,17279774,P16471
BE0003536,Cytochrome P450 2C19,DB00052,enzyme,Humans,unknown,inducer,11907490,P05177
BE0001032,P-glycoprotein 1,DB00052,enzyme,Humans,unknown,inhibitor,11907490,P33261
BE0004806,Glucocerebroside,DB00052,transporter,Humans,unknown,substrate,10518648,P08183
BE0000439,Integrin alpha-IIb,DB00054,target,Humans,yes,antagonist,11588534,P05106
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,DB00054,target,Humans,yes,antagonist,19499855,P08514
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,DB00054,target,Humans,unknown,,,P12318
BE0001068,Vitronectin,DB00054,target,Humans,unknown,,,P31994
BE0000016,Coagulation factor VIII,DB00054,target,Humans,unknown,,17160551,P04004
BE0000041,Coagulation factor V,DB00055,target,Humans,yes,inhibitor,9184404,P00451
BE0000240,Plasminogen activator inhibitor 1,DB00055,target,Humans,yes,inhibitor,11236773,P12259
BE0001151,Thrombomodulin,DB00055,target,Humans,unknown,,11259926,P05121
BE0000943,Vitamin K-dependent protein S,DB00055,target,Humans,unknown,,11804648,P07204
BE0000048,Prothrombin,DB00055,target,Humans,unknown,,12062545,P07225
BE0001129,Platelet factor 4,DB00055,target,Humans,unknown,,10463819,P00734
BE0002112,Plasma serine protease inhibitor,DB00055,target,Humans,unknown,,11259926,P02776
BE0002142,Serpin B6,DB00055,target,Humans,unknown,,10456457,P05154
BE0001161,Endothelial protein C receptor,DB00055,target,Humans,unknown,,7548163,P35237
BE0000674,Myeloid cell surface antigen CD33,DB00055,target,Humans,unknown,,9529319,Q9UNN8
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,DB00056,target,Humans,yes,antibody|regulator,10942240,P20138
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,DB00056,target,Humans,unknown,,9815888,O75015
BE0000710,High affinity immunoglobulin gamma Fc receptor I,DB00056,target,Humans,unknown,,17139284,P08637
BE0004842,Tumor-associated glycoprotein 72 (TAG-72),DB00056,target,Humans,unknown,,7509291,P12314
BE0004798,L-asparagine,DB00058,target,Humans,yes,inhibitor,20521180,P08246
BE0000661,Interferon alpha/beta receptor 1,DB00059,carrier,Humans,no,inhibitor,,P05543
BE0000385,Interferon alpha/beta receptor 2,DB00060,target,Humans,yes,agonist,10049744,P17181
BE0002433,Cytochrome P450 1A2,DB00060,target,Humans,yes,,16912135,P48551
BE0004828,Adenosine,DB00060,enzyme,Humans,unknown,inhibitor,9064483,P05177
BE0009576,Nitric oxide,DB00061,target,Humans,unknown,binder,9299436,P62993
BE0009351,Voltage-dependent N-type calcium channel,DB00063,target,Humans,yes,,11588534,P05106
BE0000387,Follicle-stimulating hormone receptor,DB00065,target,Humans,yes,inhibitor,11752352,P01375
BE0000293,Vasopressin V2 receptor,DB00066,target,Humans,yes,agonist,11299519,P23945
BE0000165,Vasopressin V1a receptor,DB00067,target,Humans,yes,agonist|regulator,17020465,P30518
BE0000773,Vasopressin V1b receptor,DB00067,target,Humans,yes,agonist|regulator,17275806,P37288
BE0000844,Oxytocin receptor,DB00067,target,Humans,yes,agonist,17027167,P47901
BE0001069,Canalicular multispecific organic anion transporter 1,DB00067,target,Humans,yes,agonist,24621650,P30559
BE0000661,Interferon alpha/beta receptor 1,DB00067,transporter,Humans,unknown,substrate,10692506,Q92887
BE0000385,Interferon alpha/beta receptor 2,DB00068,target,Humans,yes,agonist,10049744,P17181
BE0002433,Cytochrome P450 1A2,DB00068,target,Humans,yes,agonist,10049744,P48551
BE0000661,Interferon alpha/beta receptor 1,DB00068,enzyme,Humans,unknown,inhibitor,9064483,P05177
BE0000385,Interferon alpha/beta receptor 2,DB00069,target,Humans,yes,binder,17139284,P17181
BE0002433,Cytochrome P450 1A2,DB00069,target,Humans,yes,binder,8836913,P48551
BE0004821,Hyaluronan,DB00069,enzyme,Humans,unknown,inhibitor,9064483,P05177
BE0000530,Serum albumin,DB00070,target,Humans,unknown,inhibitor,11327694,P01137
BE0000033,Insulin receptor,DB00070,carrier,Humans,unknown,inhibitor,10036158,P02768
BE0000858,Insulin-like growth factor 1 receptor,DB00071,target,Humans,yes,binder,12038982,P06213
BE0002433,Cytochrome P450 1A2,DB00071,target,Humans,unknown,,17139284,P08069
BE0001183,Insulin-degrading enzyme,DB00071,enzyme,Humans,unknown,inducer,1562279,P05177
BE0000511,Receptor tyrosine-protein kinase erbB-2,DB00071,enzyme,Humans,unknown,substrate,3536368,P14735
BE0000066,B-lymphocyte antigen CD20,DB00072,target,Humans,yes,binder|antibody,11752352,P04626
BE0000658,Interleukin-2 receptor subunit alpha,DB00073,target,Humans,yes,antibody|regulator,11752352,P11836
BE0000651,Interleukin-2 receptor subunit beta,DB00074,target,Humans,yes,antibody,12591363,P01589
BE0003456,T-cell surface glycoprotein CD3 delta chain,DB00074,target,Humans,unknown,antibody,10188761,P14784
BE0000274,T-cell surface glycoprotein CD3 epsilon chain,DB00075,target,Humans,yes,,2503348,P04234
BE0003457,T-cell surface glycoprotein CD3 gamma chain,DB00075,target,Humans,yes,binder,17139284,P07766
BE0003458,T-cell surface glycoprotein CD3 zeta chain,DB00075,target,Humans,yes,,2503348,P09693
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,DB00075,target,Humans,yes,,2503348,P20963
BE0004837,Digoxin,DB00075,target,Humans,unknown,,10851527,O75015
BE0010021,Cytoplasmic membrane,DB00078,target,Humans,yes,antibody|regulator,10541376,P11836
BE0000925,Alpha-1-acid glycoprotein 1,DB00080,carrier,Humans,no,binder,1667253,P02768
BE0000952,Alpha-1-antitrypsin,DB00080,carrier,Humans,no,binder,1667253,P02763
BE0000499,Low-density lipoprotein receptor,DB00080,carrier,Humans,no,binder,28142234,P01009
BE0000685,Sex hormone-binding globulin,DB00080,carrier,Humans,no,binder,28142234,P01130
BE0009909,Hemopexin,DB00080,carrier,Humans,no,binder,28142234,P04278
BE0001032,P-glycoprotein 1,DB00080,carrier,Humans,no,binder,28142234,P02790
BE0000066,B-lymphocyte antigen CD20,DB00080,transporter,Humans,no,substrate,17548493,P08183
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,DB00081,target,Humans,yes,antibody,11418316,P11836
BE0000075,Growth hormone receptor,DB00081,target,Humans,unknown,,17768100,P31994
BE0000549,"Sterol 26-hydroxylase, mitochondrial",DB00082,target,Humans,yes,antagonist,19820031,P10912
BE0002240,Glutamine synthetase,DB00082,enzyme,Humans,unknown,inducer,12597773,Q02318
BE0002638,Cytochrome P450 3A4,DB00082,enzyme,Humans,unknown,inhibitor,1970314,P15104
BE0002180,Cholinesterase,DB00082,enzyme,Humans,unknown,inducer,9661620,P08684
BE0000421,Cytochrome P450 4A11,DB00082,enzyme,Humans,unknown,inhibitor,3948777,P06276
BE0000390,Synaptosomal-associated protein 25,DB00082,enzyme,Humans,unknown,inhibitor,19366684,Q02928
BE0003572,Rho-related GTP-binding protein RhoB,DB00083,target,Humans,yes,inhibitor,14644446,P60880
BE0000530,Serum albumin,DB00083,target,Humans,unknown,inhibitor,15140914,P62745
BE0004834,Dietary fat,DB00083,carrier,Humans,unknown,binder,16782822,P02768
BE0000928,Proteinase-activated receptor 1,DB00086,target,Humans,yes,activator,10569766,P00747
BE0000657,Cytosolic phospholipase A2,DB00086,target,Humans,unknown,activator,10666203,P25116
BE0000083,CAMPATH-1 antigen,DB00086,enzyme,Humans,unknown,inducer,2265209,P47712
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,DB00087,target,Humans,yes,antibody,10092828,P31358
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,DB00087,target,Humans,unknown,binder,9337053,O75015
BE0000710,High affinity immunoglobulin gamma Fc receptor I,DB00087,target,Humans,unknown,binder,15217834,P08637
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,DB00087,target,Humans,unknown,binder,23543215,P12314
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,DB00087,target,Humans,unknown,binder,15217834,P12318
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,DB00087,target,Humans,unknown,binder,23543215,P31994
BE0004806,Glucocerebroside,DB00087,target,Humans,unknown,binder,23543215,P31995
BE0004822,Iduronic acid,DB00089,target,Humans,yes,other/unknown,11016653,Q04609
BE0002143,Calcineurin subunit B type 2,DB00091,target,Humans,yes,binder,20927389,P49069
BE0001014,Peptidyl-prolyl cis-trans isomerase A,DB00091,target,Humans,yes,inhibitor,20674565,Q96LZ3
BE0001399,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",DB00091,target,Humans,yes,inhibitor|binder,17461417,P62937
BE0003536,Cytochrome P450 2C19,DB00091,target,Humans,yes,binder,2970139,P30405
BE0002363,Cytochrome P450 2D6,DB00091,enzyme,Humans,unknown,inhibitor,17202802,P33261
BE0002362,Cytochrome P450 3A5,DB00091,enzyme,Humans,unknown,inhibitor,17202802,P10635
BE0002638,Cytochrome P450 3A4,DB00091,enzyme,Humans,unknown,substrate,20368718,P20815
BE0001032,P-glycoprotein 1,DB00091,enzyme,Humans,unknown,substrate|inhibitor,10490933,P08684
BE0000703,Bile salt export pump,DB00091,transporter,Humans,unknown,substrate|inhibitor,8842452,P08183
BE0003643,Ileal sodium/bile acid cotransporter,DB00091,transporter,Humans,unknown,substrate|inhibitor,12404239,O95342
BE0003644,Sodium/bile acid cotransporter,DB00091,transporter,Humans,unknown,inhibitor,9458785,Q12908
BE0001066,Solute carrier family 22 member 6,DB00091,transporter,Humans,unknown,inhibitor,9486191,Q14973
BE0003651,Multidrug resistance-associated protein 7,DB00091,transporter,Humans,unknown,substrate|inhibitor,9374486,Q4U2R8
BE0001069,Canalicular multispecific organic anion transporter 1,DB00091,transporter,Humans,unknown,substrate|inhibitor,12527806,Q5T3U5
BE0001067,ATP-binding cassette sub-family G member 2,DB00091,transporter,Humans,unknown,inhibitor,15816878,Q92887
BE0001004,Solute carrier organic anion transporter family member 1B1,DB00091,transporter,Humans,unknown,inhibitor,11437380,Q9UNQ0
BE0003659,Solute carrier organic anion transporter family member 1B3,DB00091,transporter,Humans,unknown,substrate|inhibitor,12538813,Q9Y6L6
BE0000719,T-cell surface antigen CD2,DB00091,transporter,Humans,no,inhibitor,25860376,Q9NPD5
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,DB00092,target,Humans,yes,inhibitor|antibody|regulator,17555598,P06729
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,DB00092,target,Humans,unknown,,17139284,P08637
BE0000165,Vasopressin V1a receptor,DB00092,target,Humans,unknown,,11970990,O75015
BE0000387,Follicle-stimulating hormone receptor,DB00093,target,Humans,yes,agonist,17139284,P37288
BE0009967,Integrin alpha-X,DB00094,target,Humans,yes,agonist,11299519,P23945
BE0000516,Integrin alpha-L,DB00095,target,Humans,yes,antibody,25070825,P20702
BE0000134,Lutropin-choriogonadotropic hormone receptor,DB00095,target,Humans,yes,antibody,19170413,P20701
BE0000387,Follicle-stimulating hormone receptor,DB00097,target,Humans,yes,,15967102,P22888
BE0003573,Major histocompatibility complex class I-related gene protein,DB00097,target,Humans,yes,binder,9027352,P23945
