id,target_name,category,organism,known_action,actions,pubmed_id,uniprot_id,datasource
BE0004798,L-asparagine,enzyme,Humans,unknown,inducer,22765278,P11712,drugbank
BE0000490,Thyrotropin receptor,carrier,Humans,no,inhibitor,,P05543,drugbank
BE0000216,Coagulation factor X,target,Humans,yes,agonist,15571461,P16473,drugbank
BE0000364,Coagulation factor IX,target,Humans,yes,activator,13801371,P00742,drugbank
BE0001043,von Willebrand factor,target,Humans,yes,cofactor,1119107,P00740,drugbank
BE0002117,"Phytanoyl-CoA dioxygenase, peroxisomal",target,Humans,yes,binder,10938981,P04275,drugbank
BE0002118,Asialoglycoprotein receptor 2,target,Humans,unknown,antagonist,11574539,O14832,drugbank
BE0001098,78 kDa glucose-regulated protein,target,Humans,unknown,binder,15946216,P07307,drugbank
BE0002109,Calreticulin,target,Humans,unknown,chaperone,9607108,P11021,drugbank
BE0001011,Calnexin,target,Humans,unknown,chaperone,9525969,P27797,drugbank
BE0002119,Protein ERGIC-53,target,Humans,unknown,chaperone,9525969,P27824,drugbank
BE0002110,Prolow-density lipoprotein receptor-related protein 1,target,Humans,unknown,chaperone,14629470,P49257,drugbank
BE0002120,Multiple coagulation factor deficiency protein 2,target,Humans,unknown,modulator,21391865,Q07954,drugbank
BE0000048,Prothrombin,target,Humans,unknown,modulator,15886209,Q8NI22,drugbank
BE0000380,Vitamin K-dependent protein C,enzyme,Humans,unknown,activator,10688826,P00734,drugbank
BE0000565,Interleukin-1 receptor type 1,enzyme,Humans,unknown,substrate,21054189,P04070,drugbank
BE0001032,P-glycoprotein 1,target,Humans,yes,antagonist,17498496,P14778,drugbank
BE0000710,High affinity immunoglobulin gamma Fc receptor I,transporter,Humans,unknown,substrate|inhibitor,14985103,P08183,drugbank
BE0004684,High affinity immunoglobulin gamma Fc receptor IB,target,Humans,yes,antagonist,17911465,P12314,drugbank
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,target,Humans,yes,antagonist,17911465,Q92637,drugbank
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,target,Humans,yes,antagonist,17911465,P12318,drugbank
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,target,Humans,yes,antagonist,17911465,P31994,drugbank
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,target,Humans,yes,antagonist,17911465,P31995,drugbank
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,target,Humans,yes,antagonist,17911465,P08637,drugbank
BE0003455,Complement C3,target,Humans,yes,antagonist,17911465,O75015,drugbank
BE0004685,Complement C4-A,target,Humans,yes,binder,20441428,P01024,drugbank
BE0004686,Complement C4-B,target,Humans,yes,binder,20441428,P0C0L4,drugbank
BE0000855,Complement C5,target,Humans,yes,binder,20441428,P0C0L5,drugbank
BE0000211,Plasminogen,target,Humans,yes,binder,20441428,P01031,drugbank
BE0000538,Fibrinogen alpha chain,target,Humans,yes,activator,18673235,P00747,drugbank
BE0000240,Plasminogen activator inhibitor 1,target,Humans,yes,,6750837,P02671,drugbank
BE0000033,Insulin receptor,target,Humans,unknown,,17963464,P05121,drugbank
BE0000858,Insulin-like growth factor 1 receptor,target,Humans,yes,agonist,12970169,P06213,drugbank
BE0001123,Carboxypeptidase E,target,Humans,unknown,activator,19145584,P08069,drugbank
BE0001147,Protein NOV homolog,target,Humans,unknown,modulator|product of,24843127,P16870,drugbank
BE0000942,Low-density lipoprotein receptor-related protein 2,target,Humans,unknown,downregulator,23705021,P48745,drugbank
BE0002126,Insulin-like growth factor-binding protein 7,target,Humans,unknown,substrate,9773776,P98164,drugbank
BE0001183,Insulin-degrading enzyme,target,Humans,unknown,inhibitor|binder,17475416,Q16270,drugbank
BE0002124,Neuroendocrine convertase 2,enzyme,Humans,unknown,substrate|cleavage,19785409,P14735,drugbank
BE0002125,Neuroendocrine convertase 1,enzyme,Humans,unknown,activator,,P16519,drugbank
BE0002433,Cytochrome P450 1A2,enzyme,Humans,unknown,activator,,P29120,drugbank
BE0000211,Plasminogen,enzyme,Humans,unknown,inducer,1562279,P05177,drugbank
BE0000538,Fibrinogen alpha chain,target,Humans,yes,activator,18673235,P00747,drugbank
BE0000717,Urokinase plasminogen activator surface receptor,target,Humans,yes,,19436656,P02671,drugbank
BE0000240,Plasminogen activator inhibitor 1,target,Humans,unknown,,15231724,Q03405,drugbank
BE0000969,Plasminogen activator inhibitor 2,target,Humans,unknown,,11163592,P05121,drugbank
BE0002104,Tetranectin,target,Humans,unknown,,17141398,P05120,drugbank
BE0002105,"Keratin, type II cytoskeletal 8",target,Humans,unknown,,12694198,P05452,drugbank
BE0001170,Annexin A2,target,Humans,unknown,,9988531,P05787,drugbank
BE0002109,Calreticulin,target,Humans,unknown,,15194650,P07355,drugbank
BE0001011,Calnexin,target,Humans,unknown,,9359841,P27797,drugbank
BE0002110,Prolow-density lipoprotein receptor-related protein 1,target,Humans,unknown,,9359841,P27824,drugbank
BE0000387,Follicle-stimulating hormone receptor,target,Humans,unknown,,8344937,Q07954,drugbank
BE0000134,Lutropin-choriogonadotropic hormone receptor,target,Humans,yes,binder,17139284,P23945,drugbank
BE0000711,Interferon gamma receptor 1,target,Humans,yes,,17139284,P22888,drugbank
BE0000467,Interferon gamma receptor 2,target,Humans,yes,binder,17251453,P15260,drugbank
BE0002433,Cytochrome P450 1A2,target,Humans,yes,binder,17239631,P38484,drugbank
BE0000661,Interferon alpha/beta receptor 1,enzyme,Humans,unknown,inhibitor,9064483,P05177,drugbank
BE0000385,Interferon alpha/beta receptor 2,target,Humans,yes,,15898717,P17181,drugbank
BE0002433,Cytochrome P450 1A2,target,Humans,yes,,15898717,P48551,drugbank
BE0000293,Vasopressin V2 receptor,enzyme,Humans,unknown,inhibitor,9064483,P05177,drugbank
BE0000165,Vasopressin V1a receptor,target,Humans,yes,agonist,18761325,P30518,drugbank
BE0000773,Vasopressin V1b receptor,target,Humans,yes,,10731046,P37288,drugbank
BE0000262,Prostaglandin G/H synthase 2,target,Humans,yes,,15613460,P47901,drugbank
BE0000017,Prostaglandin G/H synthase 1,enzyme,Humans,unknown,inducer,15644490,P35354,drugbank
BE0000216,Coagulation factor X,enzyme,Humans,unknown,inducer,15644490,P23219,drugbank
BE0001178,Tissue factor,target,Humans,unknown,,5969560,P00742,drugbank
BE0000967,Tissue factor pathway inhibitor,target,Humans,unknown,,13713641,P13726,drugbank
BE0000403,Vitamin K-dependent gamma-carboxylase,target,Humans,unknown,,11772005,P10646,drugbank
BE0000333,Coagulation factor VII,target,Humans,unknown,,17139284,P38435,drugbank
BE0000416,Interleukin-11 receptor subunit alpha,target,Humans,unknown,,10388743,P08709,drugbank
BE0000748,Fibroblast growth factor receptor 2,target,Humans,yes,agonist,11012177,Q14626,drugbank
BE0002131,Fibroblast growth factor receptor 1,target,Humans,yes,agonist|binder,17728847,P21802,drugbank
BE0001031,Basement membrane-specific heparan sulfate proteoglycan core protein,target,Humans,unknown,agonist,11714710,P11362,drugbank
BE0000527,Glucagon receptor,target,Humans,unknown,ligand,10593896,P98160,drugbank
BE0002134,Glucagon-like peptide 2 receptor,target,Humans,yes,agonist,17462598,P47871,drugbank
BE0000857,Glucagon-like peptide 1 receptor,target,Humans,unknown,agonist,17139284,O95838,drugbank
BE0000651,Interleukin-2 receptor subunit beta,target,Humans,unknown,agonist,17475961,P43220,drugbank
BE0000658,Interleukin-2 receptor subunit alpha,target,Humans,yes,agonist|modulator,16477002,P14784,drugbank
BE0002102,Cytokine receptor common subunit gamma,target,Humans,yes,agonist|modulator,17216565,P01589,drugbank
BE0000262,Prostaglandin G/H synthase 2,target,Humans,yes,agonist,16477002,P31785,drugbank
BE0000657,Cytosolic phospholipase A2,enzyme,Humans,unknown,inducer,10823885,P35354,drugbank
BE0002638,Cytochrome P450 3A4,enzyme,Humans,unknown,inducer,8536274,P47712,drugbank
BE0002204,Xanthine dehydrogenase/oxidase,enzyme,Humans,unknown,inhibitor,10086330,P08684,drugbank
BE0003533,Cytochrome P450 2E1,enzyme,Humans,unknown,inducer,8032542,P47989,drugbank
BE0002137,Vesicle-associated membrane protein 2,enzyme,Humans,unknown,inhibitor,10086330,P05181,drugbank
BE0002136,Vesicle-associated membrane protein 1,target,Humans,yes,binder,14573702,P63027,drugbank
BE0002138,Synaptotagmin-2,target,Humans,yes,binder,17139284,P23763,drugbank
BE0000015,High affinity immunoglobulin epsilon receptor subunit alpha,target,Humans,yes,,17139284,Q8N9I0,drugbank
BE0002139,High affinity immunoglobulin epsilon receptor subunit beta,target,Humans,yes,inhibitor,15356552,P12319,drugbank
BE0000134,Lutropin-choriogonadotropic hormone receptor,target,Humans,yes,inhibitor,17139284,Q01362,drugbank
BE0001164,Toll-like receptor 2,target,Humans,yes,agonist,17139284,P22888,drugbank
BE0000033,Insulin receptor,target,Humans,yes,other/unknown,14617145,O60603,drugbank
BE0000858,Insulin-like growth factor 1 receptor,target,Humans,yes,agonist,11752352,P06213,drugbank
BE0002433,Cytochrome P450 1A2,target,Humans,unknown,activator,22420005,P08069,drugbank
BE0001183,Insulin-degrading enzyme,enzyme,Humans,unknown,inducer,1562279,P05177,drugbank
BE0000033,Insulin receptor,enzyme,Humans,unknown,substrate,12773120,P14735,drugbank
BE0000858,Insulin-like growth factor 1 receptor,target,Humans,yes,agonist,11752352,P06213,drugbank
BE0002433,Cytochrome P450 1A2,target,Humans,unknown,activator,22420005,P08069,drugbank
BE0000025,Collagen alpha-1(I) chain,enzyme,Humans,unknown,inducer,1562279,P05177,drugbank
BE0002140,Collagen alpha-1(II) chain,target,Humans,yes,binder,17440987,P02452,drugbank
BE0002130,Collagen alpha-1(III) chain,target,Humans,yes,binder,14613270,P02458,drugbank
BE0004823,Uric acid,target,Humans,yes,binder,17139284,P02461,drugbank
BE0000134,Lutropin-choriogonadotropic hormone receptor,target,Humans,yes,antagonist,11854630,P30968,drugbank
BE0000704,Tumor necrosis factor,target,Humans,unknown,,17139284,P22888,drugbank
BE0000075,Growth hormone receptor,target,Humans,yes,inhibitor|antibody,12044041,P01375,drugbank
BE0000345,Prolactin receptor,target,Humans,yes,ligand,16917171,P10912,drugbank
BE0002433,Cytochrome P450 1A2,target,Humans,yes,ligand,17279774,P16471,drugbank
BE0003536,Cytochrome P450 2C19,enzyme,Humans,unknown,inducer,11907490,P05177,drugbank
BE0001032,P-glycoprotein 1,enzyme,Humans,unknown,inhibitor,11907490,P33261,drugbank
BE0004806,Glucocerebroside,transporter,Humans,unknown,substrate,10518648,P08183,drugbank
BE0000439,Integrin alpha-IIb,target,Humans,yes,antagonist,11588534,P05106,drugbank
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,target,Humans,yes,antagonist,19499855,P08514,drugbank
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,target,Humans,unknown,,,P12318,drugbank
BE0001068,Vitronectin,target,Humans,unknown,,,P31994,drugbank
BE0000016,Coagulation factor VIII,target,Humans,unknown,,17160551,P04004,drugbank
BE0000041,Coagulation factor V,target,Humans,yes,inhibitor,9184404,P00451,drugbank
BE0000240,Plasminogen activator inhibitor 1,target,Humans,yes,inhibitor,11236773,P12259,drugbank
BE0001151,Thrombomodulin,target,Humans,unknown,,11259926,P05121,drugbank
BE0000943,Vitamin K-dependent protein S,target,Humans,unknown,,11804648,P07204,drugbank
BE0000048,Prothrombin,target,Humans,unknown,,12062545,P07225,drugbank
BE0001129,Platelet factor 4,target,Humans,unknown,,10463819,P00734,drugbank
BE0002112,Plasma serine protease inhibitor,target,Humans,unknown,,11259926,P02776,drugbank
BE0002142,Serpin B6,target,Humans,unknown,,10456457,P05154,drugbank
BE0001161,Endothelial protein C receptor,target,Humans,unknown,,7548163,P35237,drugbank
BE0000674,Myeloid cell surface antigen CD33,target,Humans,unknown,,9529319,Q9UNN8,drugbank
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,target,Humans,yes,antibody|regulator,10942240,P20138,drugbank
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,target,Humans,unknown,,9815888,O75015,drugbank
BE0000710,High affinity immunoglobulin gamma Fc receptor I,target,Humans,unknown,,17139284,P08637,drugbank
BE0004842,Tumor-associated glycoprotein 72 (TAG-72),target,Humans,unknown,,7509291,P12314,drugbank
BE0004798,L-asparagine,target,Humans,yes,inhibitor,20521180,P08246,drugbank
BE0000661,Interferon alpha/beta receptor 1,carrier,Humans,no,inhibitor,,P05543,drugbank
BE0000385,Interferon alpha/beta receptor 2,target,Humans,yes,agonist,10049744,P17181,drugbank
BE0002433,Cytochrome P450 1A2,target,Humans,yes,,16912135,P48551,drugbank
BE0004828,Adenosine,enzyme,Humans,unknown,inhibitor,9064483,P05177,drugbank
BE0009576,Nitric oxide,target,Humans,unknown,binder,9299436,P62993,drugbank
BE0009351,Voltage-dependent N-type calcium channel,target,Humans,yes,,11588534,P05106,drugbank
BE0000387,Follicle-stimulating hormone receptor,target,Humans,yes,inhibitor,11752352,P01375,drugbank
BE0000293,Vasopressin V2 receptor,target,Humans,yes,agonist,11299519,P23945,drugbank
BE0000165,Vasopressin V1a receptor,target,Humans,yes,agonist|regulator,17020465,P30518,drugbank
BE0000773,Vasopressin V1b receptor,target,Humans,yes,agonist|regulator,17275806,P37288,drugbank
BE0000844,Oxytocin receptor,target,Humans,yes,agonist,17027167,P47901,drugbank
BE0001069,Canalicular multispecific organic anion transporter 1,target,Humans,yes,agonist,24621650,P30559,drugbank
BE0000661,Interferon alpha/beta receptor 1,transporter,Humans,unknown,substrate,10692506,Q92887,drugbank
BE0000385,Interferon alpha/beta receptor 2,target,Humans,yes,agonist,10049744,P17181,drugbank
BE0002433,Cytochrome P450 1A2,target,Humans,yes,agonist,10049744,P48551,drugbank
BE0000661,Interferon alpha/beta receptor 1,enzyme,Humans,unknown,inhibitor,9064483,P05177,drugbank
BE0000385,Interferon alpha/beta receptor 2,target,Humans,yes,binder,17139284,P17181,drugbank
BE0002433,Cytochrome P450 1A2,target,Humans,yes,binder,8836913,P48551,drugbank
BE0004821,Hyaluronan,enzyme,Humans,unknown,inhibitor,9064483,P05177,drugbank
BE0000530,Serum albumin,target,Humans,unknown,inhibitor,11327694,P01137,drugbank
BE0000033,Insulin receptor,carrier,Humans,unknown,inhibitor,10036158,P02768,drugbank
BE0000858,Insulin-like growth factor 1 receptor,target,Humans,yes,binder,12038982,P06213,drugbank
BE0002433,Cytochrome P450 1A2,target,Humans,unknown,,17139284,P08069,drugbank
BE0001183,Insulin-degrading enzyme,enzyme,Humans,unknown,inducer,1562279,P05177,drugbank
BE0000511,Receptor tyrosine-protein kinase erbB-2,enzyme,Humans,unknown,substrate,3536368,P14735,drugbank
BE0000066,B-lymphocyte antigen CD20,target,Humans,yes,binder|antibody,11752352,P04626,drugbank
BE0000658,Interleukin-2 receptor subunit alpha,target,Humans,yes,antibody|regulator,11752352,P11836,drugbank
BE0000651,Interleukin-2 receptor subunit beta,target,Humans,yes,antibody,12591363,P01589,drugbank
BE0003456,T-cell surface glycoprotein CD3 delta chain,target,Humans,unknown,antibody,10188761,P14784,drugbank
BE0000274,T-cell surface glycoprotein CD3 epsilon chain,target,Humans,yes,,2503348,P04234,drugbank
BE0003457,T-cell surface glycoprotein CD3 gamma chain,target,Humans,yes,binder,17139284,P07766,drugbank
BE0003458,T-cell surface glycoprotein CD3 zeta chain,target,Humans,yes,,2503348,P09693,drugbank
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,target,Humans,yes,,2503348,P20963,drugbank
BE0004837,Digoxin,target,Humans,unknown,,10851527,O75015,drugbank
BE0010021,Cytoplasmic membrane,target,Humans,yes,antibody|regulator,10541376,P11836,drugbank
BE0000925,Alpha-1-acid glycoprotein 1,carrier,Humans,no,binder,1667253,P02768,drugbank
BE0000952,Alpha-1-antitrypsin,carrier,Humans,no,binder,1667253,P02763,drugbank
BE0000499,Low-density lipoprotein receptor,carrier,Humans,no,binder,28142234,P01009,drugbank
BE0000685,Sex hormone-binding globulin,carrier,Humans,no,binder,28142234,P01130,drugbank
BE0009909,Hemopexin,carrier,Humans,no,binder,28142234,P04278,drugbank
BE0001032,P-glycoprotein 1,carrier,Humans,no,binder,28142234,P02790,drugbank
BE0000066,B-lymphocyte antigen CD20,transporter,Humans,no,substrate,17548493,P08183,drugbank
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,target,Humans,yes,antibody,11418316,P11836,drugbank
BE0000075,Growth hormone receptor,target,Humans,unknown,,17768100,P31994,drugbank
BE0000549,"Sterol 26-hydroxylase, mitochondrial",target,Humans,yes,antagonist,19820031,P10912,drugbank
BE0002240,Glutamine synthetase,enzyme,Humans,unknown,inducer,12597773,Q02318,drugbank
BE0002638,Cytochrome P450 3A4,enzyme,Humans,unknown,inhibitor,1970314,P15104,drugbank
BE0002180,Cholinesterase,enzyme,Humans,unknown,inducer,9661620,P08684,drugbank
BE0000421,Cytochrome P450 4A11,enzyme,Humans,unknown,inhibitor,3948777,P06276,drugbank
BE0000390,Synaptosomal-associated protein 25,enzyme,Humans,unknown,inhibitor,19366684,Q02928,drugbank
BE0003572,Rho-related GTP-binding protein RhoB,target,Humans,yes,inhibitor,14644446,P60880,drugbank
BE0000530,Serum albumin,target,Humans,unknown,inhibitor,15140914,P62745,drugbank
BE0004834,Dietary fat,carrier,Humans,unknown,binder,16782822,P02768,drugbank
BE0000928,Proteinase-activated receptor 1,target,Humans,yes,activator,10569766,P00747,drugbank
BE0000657,Cytosolic phospholipase A2,target,Humans,unknown,activator,10666203,P25116,drugbank
BE0000083,CAMPATH-1 antigen,enzyme,Humans,unknown,inducer,2265209,P47712,drugbank
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,target,Humans,yes,antibody,10092828,P31358,drugbank
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,target,Humans,unknown,binder,9337053,O75015,drugbank
BE0000710,High affinity immunoglobulin gamma Fc receptor I,target,Humans,unknown,binder,15217834,P08637,drugbank
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,target,Humans,unknown,binder,23543215,P12314,drugbank
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,target,Humans,unknown,binder,15217834,P12318,drugbank
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,target,Humans,unknown,binder,23543215,P31994,drugbank
BE0004806,Glucocerebroside,target,Humans,unknown,binder,23543215,P31995,drugbank
BE0004822,Iduronic acid,target,Humans,yes,other/unknown,11016653,Q04609,drugbank
BE0002143,Calcineurin subunit B type 2,target,Humans,yes,binder,20927389,P49069,drugbank
BE0001014,Peptidyl-prolyl cis-trans isomerase A,target,Humans,yes,inhibitor,20674565,Q96LZ3,drugbank
BE0001399,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",target,Humans,yes,inhibitor|binder,17461417,P62937,drugbank
BE0003536,Cytochrome P450 2C19,target,Humans,yes,binder,2970139,P30405,drugbank
BE0002363,Cytochrome P450 2D6,enzyme,Humans,unknown,inhibitor,17202802,P33261,drugbank
BE0002362,Cytochrome P450 3A5,enzyme,Humans,unknown,inhibitor,17202802,P10635,drugbank
BE0002638,Cytochrome P450 3A4,enzyme,Humans,unknown,substrate,20368718,P20815,drugbank
BE0001032,P-glycoprotein 1,enzyme,Humans,unknown,substrate|inhibitor,10490933,P08684,drugbank
BE0000703,Bile salt export pump,transporter,Humans,unknown,substrate|inhibitor,8842452,P08183,drugbank
BE0003643,Ileal sodium/bile acid cotransporter,transporter,Humans,unknown,substrate|inhibitor,12404239,O95342,drugbank
BE0003644,Sodium/bile acid cotransporter,transporter,Humans,unknown,inhibitor,9458785,Q12908,drugbank
BE0001066,Solute carrier family 22 member 6,transporter,Humans,unknown,inhibitor,9486191,Q14973,drugbank
BE0003651,Multidrug resistance-associated protein 7,transporter,Humans,unknown,substrate|inhibitor,9374486,Q4U2R8,drugbank
BE0001069,Canalicular multispecific organic anion transporter 1,transporter,Humans,unknown,substrate|inhibitor,12527806,Q5T3U5,drugbank
BE0001067,ATP-binding cassette sub-family G member 2,transporter,Humans,unknown,inhibitor,15816878,Q92887,drugbank
BE0001004,Solute carrier organic anion transporter family member 1B1,transporter,Humans,unknown,inhibitor,11437380,Q9UNQ0,drugbank
BE0003659,Solute carrier organic anion transporter family member 1B3,transporter,Humans,unknown,substrate|inhibitor,12538813,Q9Y6L6,drugbank
BE0000719,T-cell surface antigen CD2,transporter,Humans,no,inhibitor,25860376,Q9NPD5,drugbank
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,target,Humans,yes,inhibitor|antibody|regulator,17555598,P06729,drugbank
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,target,Humans,unknown,,17139284,P08637,drugbank
BE0000165,Vasopressin V1a receptor,target,Humans,unknown,,11970990,O75015,drugbank
BE0000387,Follicle-stimulating hormone receptor,target,Humans,yes,agonist,17139284,P37288,drugbank
BE0009967,Integrin alpha-X,target,Humans,yes,agonist,11299519,P23945,drugbank
BE0000516,Integrin alpha-L,target,Humans,yes,antibody,25070825,P20702,drugbank
BE0000134,Lutropin-choriogonadotropic hormone receptor,target,Humans,yes,antibody,19170413,P20701,drugbank
BE0000387,Follicle-stimulating hormone receptor,target,Humans,yes,,15967102,P22888,drugbank
BE0003573,Major histocompatibility complex class I-related gene protein,target,Humans,yes,binder,9027352,P23945,drugbank
