id,pathway_name,pathway_category,datasource
SMP0014235,"Phosphatidylcholine Biosynthesis PC(14:0/20:5(5Z,8Z,11Z,14Z,17Z))",metabolic,drugbank
SMP0014240,"Phosphatidylcholine Biosynthesis PC(14:0/22:5(4Z,7Z,10Z,13Z,16Z))",metabolic,drugbank
SMP0014242,"Phosphatidylcholine Biosynthesis PC(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",metabolic,drugbank
SMP0000013,Cysteine Metabolism,metabolic,drugbank
SMP0000040,Glycolysis,metabolic,drugbank
SMP0000045,Amino Sugar Metabolism,metabolic,drugbank
SMP0000055,Alanine Metabolism,metabolic,drugbank
SMP0000179,Dihydropyrimidine Dehydrogenase Deficiency (DHPD),disease,drugbank
SMP0000242,Dimethylglycine Dehydrogenase Deficiency,disease,drugbank
SMP0000350,Pyruvate Carboxylase Deficiency,disease,drugbank
SMP0000385,Homocarnosinosis,disease,drugbank
SMP0000484,Dimethylglycine Dehydrogenase Deficiency,disease,drugbank
SMP0000485,"Hyperglycinemia, Non-Ketotic",disease,drugbank
SMP0000531,"Glycogenosis, Type VII. Tarui Disease",disease,drugbank
SMP0000534,"G(M2)-Gangliosidosis: Variant B, Tay-Sachs Disease",disease,drugbank
SMP0000559,Pyruvate Kinase Deficiency,disease,drugbank
SMP0000560,Phosphoenolpyruvate Carboxykinase Deficiency 1 (PEPCK1),disease,drugbank
SMP0000573,"Glycogenosis, Type IB",disease,drugbank
SMP0000721,3-Phosphoglycerate Dehydrogenase Deficiency,disease,drugbank
SMP0000722,"Cystinosis, Ocular Nonnephropathic",disease,drugbank
SMP0002295,The Oncogenic Action of Fumarate,disease,drugbank
SMP0002358,The Oncogenic Action of L-2-Hydroxyglutarate in Hydroxygluaricaciduria,disease,drugbank
SMP0000001,Citrullinemia Type I,disease,drugbank
SMP0000059,Urea Cycle,metabolic,drugbank
SMP0000127,Glucose-Alanine Cycle,metabolic,drugbank
SMP0000136,2-Hydroxyglutric Aciduria (D and L Form),disease,drugbank
SMP0000205,Ornithine Transcarbamylase Deficiency (OTC Deficiency),disease,drugbank
SMP0000223,Non-Ketotic Hyperglycinemia,disease,drugbank
SMP0000243,4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency,disease,drugbank
SMP0000244,Sarcosinemia,disease,drugbank
SMP0000313,Lactic Acidemia,disease,drugbank
SMP0000352,Primary Hyperoxaluria Type I,disease,drugbank
SMP0000357,Argininemia,disease,drugbank
SMP0000370,Tyrosinemia Type 3 (TYRO3),disease,drugbank
SMP0000206,Phenylketonuria,disease,drugbank
SMP0000008,Phenylalanine and Tyrosine Metabolism,metabolic,drugbank
SMP0000369,Tyrosinemia Type 2 (or Richner-Hanhart Syndrome),disease,drugbank
SMP0000066,Biotin Metabolism,metabolic,drugbank
SMP0000136,2-Hydroxyglutric Aciduria (D and L Form),disease,drugbank
SMP0000138,3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency,disease,drugbank
SMP0000198,Malonic Aciduria,disease,drugbank
SMP0000200,Methylmalonic Aciduria,disease,drugbank
SMP0000243,4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency,disease,drugbank
SMP0000313,Lactic Acidemia,disease,drugbank
SMP0000352,Primary Hyperoxaluria Type I,disease,drugbank
SMP0000374,Glycogen Storage Disease Type 1A (GSD1A) or Von Gierke Disease,disease,drugbank
SMP0000466,Transfer of Acetyl Groups into Mitochondria,metabolic,drugbank
SMP0000523,Isobutyryl-CoA Dehydrogenase Deficiency,disease,drugbank
SMP0000546,Congenital Lactic Acidosis,disease,drugbank
SMP0000547,Fumarase Deficiency,disease,drugbank
SMP0000548,Mitochondrial Complex II Deficiency,disease,drugbank
SMP0000549,2-Ketoglutarate Dehydrogenase Complex Deficiency,disease,drugbank
SMP0000562,"Fructose-1,6-diphosphatase Deficiency",disease,drugbank
SMP0000563,Triosephosphate Isomerase,disease,drugbank
SMP0000567,Succinic Semialdehyde Dehydrogenase Deficiency,disease,drugbank
SMP0000654,Warburg Effect,metabolic,drugbank
SMP0002291,The Oncogenic Action of 2-Hydroxyglutarate,disease,drugbank
SMP0000032,"Valine, Leucine, and Isoleucine Degradation",metabolic,drugbank
SMP0000055,Alanine Metabolism,metabolic,drugbank
SMP0000140,3-Methylglutaconic Aciduria Type III,disease,drugbank
SMP0000141,3-Methylglutaconic Aciduria Type IV,disease,drugbank
SMP0000199,Maple Syrup Urine Disease,disease,drugbank
SMP0000201,Methylmalonic Aciduria Due to Cobalamin-Related Disorders,disease,drugbank
SMP0000236,Propionic Acidemia,disease,drugbank
SMP0000237,3-Methylcrotonyl-CoA Carboxylase Deficiency Type I,disease,drugbank
SMP0000238,Isovaleric Aciduria,disease,drugbank
SMP0000350,Pyruvate Carboxylase Deficiency,disease,drugbank
SMP0000123,Betaine Metabolism,metabolic,drugbank
SMP0000177,Cystathionine beta-Synthase Deficiency,disease,drugbank
SMP0002313,Sarcosine Oncometabolite Pathway,disease,drugbank
SMP0014216,Phosphatidylcholine Biosynthesis PC(14:0/14:0),metabolic,drugbank
SMP0014218,Phosphatidylcholine Biosynthesis PC(14:0/15:0),metabolic,drugbank
SMP0014220,Phosphatidylcholine Biosynthesis PC(14:0/16:1(9Z)),metabolic,drugbank
SMP0014224,"Phosphatidylcholine Biosynthesis PC(14:0/18:2(9Z,12Z))",metabolic,drugbank
SMP0014228,Phosphatidylcholine Biosynthesis PC(14:0/20:0),metabolic,drugbank
SMP0014229,Phosphatidylcholine Biosynthesis PC(14:0/20:1(11Z)),metabolic,drugbank
SMP0014230,"Phosphatidylcholine Biosynthesis PC(14:0/20:2(11Z,14Z))",metabolic,drugbank
SMP0014233,"Phosphatidylcholine Biosynthesis PC(14:0/20:4(5Z,8Z,11Z,14Z))",metabolic,drugbank
SMP0014235,"Phosphatidylcholine Biosynthesis PC(14:0/20:5(5Z,8Z,11Z,14Z,17Z))",metabolic,drugbank
SMP0014240,"Phosphatidylcholine Biosynthesis PC(14:0/22:5(4Z,7Z,10Z,13Z,16Z))",metabolic,drugbank
SMP0014242,"Phosphatidylcholine Biosynthesis PC(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",metabolic,drugbank
SMP0014245,Phosphatidylcholine Biosynthesis PC(14:1(9Z)/14:0),metabolic,drugbank
SMP0014248,Phosphatidylcholine Biosynthesis PC(14:1(9Z)/16:0),metabolic,drugbank
SMP0014249,Phosphatidylcholine Biosynthesis PC(14:1(9Z)/16:1(9Z)),metabolic,drugbank
SMP0014255,"Phosphatidylcholine Biosynthesis PC(14:1(9Z)/18:3(9Z,12Z,15Z))",metabolic,drugbank
SMP0014267,"Phosphatidylcholine Biosynthesis PC(14:1(9Z)/22:2(13Z,16Z))",metabolic,drugbank
SMP0014272,Phosphatidylcholine Biosynthesis PC(14:1(9Z)/24:0),metabolic,drugbank
SMP0014274,Phosphatidylcholine Biosynthesis PC(15:0/14:0),metabolic,drugbank
SMP0014277,Phosphatidylcholine Biosynthesis PC(15:0/16:0),metabolic,drugbank
SMP0014278,Phosphatidylcholine Biosynthesis PC(15:0/16:1(9Z)),metabolic,drugbank
SMP0014279,Phosphatidylcholine Biosynthesis PC(15:0/18:0),metabolic,drugbank
SMP0014287,Phosphatidylcholine Biosynthesis PC(15:0/20:1(11Z)),metabolic,drugbank
SMP0014290,"Phosphatidylcholine Biosynthesis PC(15:0/20:3(8Z,11Z,14Z))",metabolic,drugbank
SMP0014291,"Phosphatidylcholine Biosynthesis PC(15:0/20:4(5Z,8Z,11Z,14Z))",metabolic,drugbank
SMP0014294,Phosphatidylcholine Biosynthesis PC(15:0/22:0),metabolic,drugbank
SMP0014300,"Phosphatidylcholine Biosynthesis PC(15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",metabolic,drugbank
SMP0014303,Phosphatidylcholine Biosynthesis PC(16:0/14:0),metabolic,drugbank
SMP0000066,Biotin Metabolism,metabolic,drugbank
SMP0000719,2-Aminoadipic 2-Oxoadipic Aciduria,disease,drugbank
SMP0000037,Lysine Degradation,metabolic,drugbank
SMP0000528,Hyperlysinemia II or Saccharopinuria,disease,drugbank
SMP0000564,"Multiple Carboxylase Deficiency, Neonatal or Early Onset Form",disease,drugbank
SMP0000571,Pyridoxine Dependency with Seizures,disease,drugbank
SMP0000174,Biotinidase Deficiency,disease,drugbank
SMP0000186,Glutaric Aciduria Type I,disease,drugbank
SMP0000239,Saccharopinuria/Hyperlysinemia II,disease,drugbank
SMP0000465,Carnitine Synthesis,metabolic,drugbank
SMP0000527,"Hyperlysinemia I, Familial",disease,drugbank
SMP0000002,Carbamoyl Phosphate Synthetase Deficiency,disease,drugbank
SMP0000003,Argininosuccinic Aciduria,disease,drugbank
SMP0000004,Glycine and Serine Metabolism,metabolic,drugbank
SMP0000020,Arginine and Proline Metabolism,metabolic,drugbank
SMP0000188,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),disease,drugbank
SMP0000360,Hyperprolinemia Type II,disease,drugbank
SMP0000361,Hyperprolinemia Type I,disease,drugbank
SMP0000507,L-Arginine:Glycine Amidinotransferase Deficiency,disease,drugbank
SMP0000179,Dihydropyrimidine Dehydrogenase Deficiency (DHPD),disease,drugbank
SMP0000242,Dimethylglycine Dehydrogenase Deficiency,disease,drugbank
SMP0000362,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),disease,drugbank
SMP0000484,Dimethylglycine Dehydrogenase Deficiency,disease,drugbank
SMP0000485,"Hyperglycinemia, Non-Ketotic",disease,drugbank
SMP0000504,"Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency",disease,drugbank
SMP0000505,Hyperornithinemia with Gyrate Atrophy (HOGA),disease,drugbank
SMP0000721,3-Phosphoglycerate Dehydrogenase Deficiency,disease,drugbank
SMP0000001,Citrullinemia Type I,disease,drugbank
SMP0000059,Urea Cycle,metabolic,drugbank
SMP0000067,Aspartate Metabolism,metabolic,drugbank
SMP0000175,Canavan Disease,disease,drugbank
SMP0000192,Hypoacetylaspartia,disease,drugbank
SMP0000205,Ornithine Transcarbamylase Deficiency (OTC Deficiency),disease,drugbank
SMP0000207,Prolidase Deficiency (PD),disease,drugbank
SMP0000208,Prolinemia Type II,disease,drugbank
SMP0000223,Non-Ketotic Hyperglycinemia,disease,drugbank
SMP0000244,Sarcosinemia,disease,drugbank
SMP0000357,Argininemia,disease,drugbank
SMP0000363,Ornithine Aminotransferase Deficiency (OAT Deficiency),disease,drugbank
SMP0000506,Hyperornithinemia-Hyperammonemia-Homocitrullinuria [HHH-syndrome],disease,drugbank
SMP0063777,Nitric Oxide Signaling Pathway,signaling,drugbank
SMP0000030,Oxidation of Branched-Chain Fatty Acids,metabolic,drugbank
SMP0000170,Aromatic L-Aminoacid Decarboxylase Deficiency,disease,drugbank
SMP0002295,The Oncogenic Action of Fumarate,disease,drugbank
SMP0000006,Tyrosine Metabolism,metabolic,drugbank
SMP0000012,Catecholamine Biosynthesis,metabolic,drugbank
SMP0000218,Tyrosinemia Type I,disease,drugbank
SMP0000429,Disulfiram Action Pathway,drug_action,drugbank
SMP0000450,Phytanic Acid Peroxisomal Oxidation,metabolic,drugbank
SMP0000465,Carnitine Synthesis,metabolic,drugbank
SMP0002292,The Oncogenic Action of Succinate,disease,drugbank
SMP0000169,Alkaptonuria,disease,drugbank
SMP0000190,Hawkinsinuria,disease,drugbank
SMP0000451,Refsum Disease,disease,drugbank
SMP0000494,"Tyrosinemia, Transient, of the Newborn",disease,drugbank
SMP0000497,Tyrosine Hydroxylase Deficiency,disease,drugbank
SMP0000498,Dopamine beta-Hydroxylase Deficiency,disease,drugbank
SMP0000533,Monoamine Oxidase-A Deficiency (MAO-A),disease,drugbank
SMP0000445,Spermidine and Spermine Biosynthesis,metabolic,drugbank
SMP0000129,Malate-Aspartate Shuttle,metabolic,drugbank
SMP0000167,Adenylosuccinate Lyase Deficiency,disease,drugbank
SMP0000220,Xanthine Dehydrogenase Deficiency (Xanthinuria),disease,drugbank
SMP0000362,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),disease,drugbank
SMP0000385,Homocarnosinosis,disease,drugbank
SMP0000493,"Carnosinuria, Carnosinemia",disease,drugbank
SMP0000504,"Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency",disease,drugbank
SMP0000505,Hyperornithinemia with Gyrate Atrophy (HOGA),disease,drugbank
SMP0000512,Xanthinuria Type I,disease,drugbank
SMP0000536,Mitochondrial DNA Depletion Syndrome,disease,drugbank
SMP0000537,Myoadenylate Deaminase Deficiency,disease,drugbank
SMP0000002,Carbamoyl Phosphate Synthetase Deficiency,disease,drugbank
SMP0000003,Argininosuccinic Aciduria,disease,drugbank
SMP0000006,Tyrosine Metabolism,metabolic,drugbank
SMP0000009,Ammonia Recycling,metabolic,drugbank
SMP0000020,Arginine and Proline Metabolism,metabolic,drugbank
SMP0000050,Purine Metabolism,metabolic,drugbank
SMP0000072,Glutamate Metabolism,metabolic,drugbank
SMP0000188,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),disease,drugbank
SMP0000210,Purine Nucleoside Phosphorylase Deficiency,disease,drugbank
SMP0000218,Tyrosinemia Type I,disease,drugbank
SMP0000339,Hyperinsulinism-Hyperammonemia Syndrome,disease,drugbank
SMP0000360,Hyperprolinemia Type II,disease,drugbank
SMP0000361,Hyperprolinemia Type I,disease,drugbank
SMP0000364,Lesch-Nyhan Syndrome (LNS),disease,drugbank
SMP0000365,Gout or Kelley-Seegmiller Syndrome,disease,drugbank
SMP0000428,Mercaptopurine Action Pathway,drug_action,drugbank
SMP0000429,Disulfiram Action Pathway,drug_action,drugbank
SMP0000507,L-Arginine:Glycine Amidinotransferase Deficiency,disease,drugbank
SMP0000535,Adenine Phosphoribosyltransferase Deficiency (APRT),disease,drugbank
SMP0000362,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),disease,drugbank
SMP0000504,"Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency",disease,drugbank
SMP0000505,Hyperornithinemia with Gyrate Atrophy (HOGA),disease,drugbank
SMP0000002,Carbamoyl Phosphate Synthetase Deficiency,disease,drugbank
SMP0000003,Argininosuccinic Aciduria,disease,drugbank
SMP0000020,Arginine and Proline Metabolism,metabolic,drugbank
SMP0000188,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),disease,drugbank
SMP0000360,Hyperprolinemia Type II,disease,drugbank
SMP0000361,Hyperprolinemia Type I,disease,drugbank
SMP0000507,L-Arginine:Glycine Amidinotransferase Deficiency,disease,drugbank
SMP0000001,Citrullinemia Type I,disease,drugbank
SMP0000059,Urea Cycle,metabolic,drugbank
SMP0000205,Ornithine Transcarbamylase Deficiency (OTC Deficiency),disease,drugbank
SMP0000207,Prolidase Deficiency (PD),disease,drugbank
SMP0000208,Prolinemia Type II,disease,drugbank
SMP0000357,Argininemia,disease,drugbank
SMP0000363,Ornithine Aminotransferase Deficiency (OAT Deficiency),disease,drugbank
SMP0000445,Spermidine and Spermine Biosynthesis,metabolic,drugbank
SMP0000506,Hyperornithinemia-Hyperammonemia-Homocitrullinuria [HHH-syndrome],disease,drugbank
SMP0000045,Amino Sugar Metabolism,metabolic,drugbank
SMP0000126,Phenylacetate Metabolism,metabolic,drugbank
SMP0000167,Adenylosuccinate Lyase Deficiency,disease,drugbank
SMP0000220,Xanthine Dehydrogenase Deficiency (Xanthinuria),disease,drugbank
SMP0000385,Homocarnosinosis,disease,drugbank
SMP0000512,Xanthinuria Type I,disease,drugbank
SMP0000534,"G(M2)-Gangliosidosis: Variant B, Tay-Sachs Disease",disease,drugbank
SMP0000536,Mitochondrial DNA Depletion Syndrome,disease,drugbank
SMP0000537,Myoadenylate Deaminase Deficiency,disease,drugbank
SMP0002358,The Oncogenic Action of L-2-Hydroxyglutarate in Hydroxygluaricaciduria,disease,drugbank
SMP0000002,Carbamoyl Phosphate Synthetase Deficiency,disease,drugbank
SMP0000003,Argininosuccinic Aciduria,disease,drugbank
SMP0000009,Ammonia Recycling,metabolic,drugbank
SMP0000046,Pyrimidine Metabolism,metabolic,drugbank
SMP0000050,Purine Metabolism,metabolic,drugbank
SMP0000072,Glutamate Metabolism,metabolic,drugbank
SMP0000202,MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy),disease,drugbank
SMP0000210,Purine Nucleoside Phosphorylase Deficiency,disease,drugbank
SMP0000216,Sialuria or French Type Sialuria,disease,drugbank
SMP0000217,Sialuria or French Type Sialuria,disease,drugbank
SMP0000240,Salla Disease/Infantile Sialic Acid Storage Disease,disease,drugbank
SMP0000339,Hyperinsulinism-Hyperammonemia Syndrome,disease,drugbank
SMP0000364,Lesch-Nyhan Syndrome (LNS),disease,drugbank
SMP0000365,Gout or Kelley-Seegmiller Syndrome,disease,drugbank
SMP0000390,Tay-Sachs Disease,disease,drugbank
SMP0000428,Mercaptopurine Action Pathway,drug_action,drugbank
SMP0000535,Adenine Phosphoribosyltransferase Deficiency (APRT),disease,drugbank
SMP0002298,Glutaminolysis and Cancer,disease,drugbank
SMP0002359,The Oncogenic Action of D-2-Hydroxyglutarate in Hydroxygluaricaciduria,disease,drugbank
SMP0000001,Citrullinemia Type I,disease,drugbank
SMP0000002,Carbamoyl Phosphate Synthetase Deficiency,disease,drugbank
SMP0000003,Argininosuccinic Aciduria,disease,drugbank
SMP0000004,Glycine and Serine Metabolism,metabolic,drugbank
SMP0000009,Ammonia Recycling,metabolic,drugbank
SMP0000016,Propanoate Metabolism,metabolic,drugbank
SMP0000020,Arginine and Proline Metabolism,metabolic,drugbank
SMP0000029,Selenoamino Acid Metabolism,metabolic,drugbank
SMP0000031,Pentose Phosphate Pathway,metabolic,drugbank
SMP0000044,Histidine Metabolism,metabolic,drugbank
SMP0000050,Purine Metabolism,metabolic,drugbank
SMP0000051,Fatty Acid Metabolism,metabolic,drugbank
SMP0000060,Pyruvate Metabolism,metabolic,drugbank
SMP0000072,Glutamate Metabolism,metabolic,drugbank
SMP0000073,Butyrate Metabolism,metabolic,drugbank
SMP0000076,Thiamine Metabolism,metabolic,drugbank
SMP0000177,Cystathionine beta-Synthase Deficiency,disease,drugbank
SMP0000188,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),disease,drugbank
SMP0000191,Histidinemia,disease,drugbank
SMP0000196,Leigh Syndrome,disease,drugbank
SMP0000210,Purine Nucleoside Phosphorylase Deficiency,disease,drugbank
SMP0000212,Pyruvate Dehydrogenase Complex Deficiency,disease,drugbank
SMP0000248,Clarithromycin Action Pathway,drug_action,drugbank
SMP0000251,Roxithromycin Action Pathway,drug_action,drugbank
SMP0000254,Gentamicin Action Pathway,drug_action,drugbank
SMP0000293,Oxytetracycline Action Pathway,drug_action,drugbank
SMP0000294,Tetracycline Action Pathway,drug_action,drugbank
SMP0000334,Pyruvate Decarboxylase E1 Component Deficiency (PDHE1 Deficiency),disease,drugbank
SMP0000339,Hyperinsulinism-Hyperammonemia Syndrome,disease,drugbank
SMP0000360,Hyperprolinemia Type II,disease,drugbank
SMP0000361,Hyperprolinemia Type I,disease,drugbank
SMP0000018,Alpha Linolenic Acid and Linoleic Acid Metabolism,metabolic,drugbank
SMP0000004,Glycine and Serine Metabolism,metabolic,drugbank
SMP0000009,Ammonia Recycling,metabolic,drugbank
SMP0000029,Selenoamino Acid Metabolism,metabolic,drugbank
